"One of the other reviewers mentioned that after watching the 1 Oz episode, they would fall in love. That's right because this is what happened with me. <br /> <br /> The first thing that surprised me about Oz was the scene of brutality and brutal violence. It started with the word GO. Trust me, this is not a show for a faint-hearted or timid person. The show is not punched for drugs, sex or violence. It is hardcore in the classic use of the word. <br /> <br /> Owald is the nickname given to the Oswald Maximum Security State Penitentary and is called OZ. Privacy is not high on the agenda as it focuses on Emerald City, the experimental area of ​​the prison where all cells face the glass front and face inside. There are many places in Em City. .Aryans, Muslims, gangstas, Latinos, Christians, Italians, Irish and etc... Shuffle, Death Star, Dodge deals and shady deals are never far. <br /> <br /> The main attraction of this show is that other shows won't dare. Forget the pretty pictures drawn for the mainstream audience, forget the charm, forget the romance... OZ is not a mess. The first episode I saw surprised me because it was surreal. I couldn't say I was ready to do that, but when I saw more, I developed Oz's taste and got used to the high level of graphic violence. Watching the odds of violence as well as injustice (a crooked guard to be sold for Nickel, an inmate to be orderly conquered, an intermediate prisoner who excuses prison assassination for lack of street skills), or a prison experience), you can get used to uncomfortable viewing... If you can get in touch with your dark side.","One of the other reviewers says he will be hooked after seeing only one Oz episode. They are correct because this is exactly what happened to me.<br /> <br /> The first thing that surprised me about Oz was the unwavering scene of brutality and violence.It started with the word GO.Believe me, this is not a show for faint hearts or cowards.This show isn't punching with respect to drugs, sex, or violence.In its classic use of the word, it's hardcore.<br /> <br /> It is called OZ because it is a nickname given to the Oswald Maximum Security State Penitentary.The focus is mainly on the emerald city, the experimental part of the prison, and all cells have a glass front and face inward, so privacy is not a concern.Many people live in M ​​City.Aryans, Muslims, Gangstas, Latin Americans, Christians, Italians, Irish...etc. Staring at brawls, death, dubious deals and dubious agreements are by no means far.<br /> <br /> I think the main attraction of the show is the fact that it goes whe re other shows don't.Forget the pretty pictures drawn for the mainstream audience, forget the charm, forget the romance... OZ won't get confused. The first episode I saw was so surreal and surreal that I was impressed. couldn't say I was ready, but as I watched more, I learned about Oz's hobby and got used to the high level of violent graphics.Injustice as well as violence (guards sold out for nickel, prisoners who kill and escape from order, polite middle-class prisoners turn into prison complains due to lack of street skills) or prison experience Oz You may get used to the uncomfortable display while watching."
"Nice little production. <br /> <br /> The shooting technique is very homely, BBB way a long time ago, and it comforts the whole piece and sometimes makes it uncomfortable. <br /> <br /> The actors were extremely well selected. Michael Sheen cut off all the voices ""not only got all the Polaries""! You can truly see the complete compilation guided by reference to Williams' diary entries. It's not only worth seeing, it's a wonderfully written and performed piece. A great production for a comedy and one of the great masters of his life. <br /> <br /> There are actually small things in realism. Instead of using traditional'dream' techniques, the illusion of a guard that remains solid disappears. It affects our knowledge and senses. In particular, the scenes and sets about Orton and Halliwell (especially the flat scenes with Halliwell's murals decorating all surfaces) perform very well.","A wonderful little piece.<br /> <br /> The shooting technique is a very discreet, very old fashioned BBC fashion that gives the whole piece a pleasant and sometimes unpleasant reality.<br /> <br /> The actor is very well selected-Michael Sheen not only ""got all the polari"" but he also putts all voices! You can really see a seamless edit guided by a reference to Williams' diary entry.Not only is it worth a look, but it's a very written and played piece.A stunning piece about one of the comedy masters and his life.<br /> <br /> Realism is reborn by the little things.Rather than using the traditional ""dream"" technique, the illusion of a solid guard disappears and disappears.It affects our knowledge and our senses, especially the sets and sets relating to Orton and Halliwell, especially the flat sets where Halliwell's murals decorate all surfaces."
"I thought this was a great way to spend time on a hot summer weekend and sit in an air-conditioned theater and watch a light comedy. The plot is simple, but the conversation is witty, and the character is likable (even the well-known bread serial killer). These are Match Point 2:. You may have been disappointed to know that it wasn't a Risk Addiction, but I thought Woody Allen was still in full control of the styles that many of us liked.<br /> <br /> This has been a Woody comedy for years It's the funniest thing in one (do you say 10 years?). Although I wasn't impressed by Scarlett Johansson, she darkened her ""sexy"" image and jumped into an average but passionate young woman. <br /> <br /> This may not be the crown jewel, it was more fun than ""Devil Wears Prada"", more interesting than ""Superman"" and a comedy to see with friends.","I thought it was a great way to spend a hot summer weekend sitting in an air-conditioned theater and watching a comedy comedy.The plot is simplified, but the dialogue is witty and the character is welcoming (even for serial murderers who appear to be While some are disappointed to notice that Matchpoint 2 isn't a risk addiction, I thought it was evidence that Woody Allen had complete control over the style that many began to love.<br /> <br /> This was the most I' ve laughed at one of Woody's comedies over the years (I'm not saying 10 years?).I have never been impressed with Scarlett Johansson, but this tightened her ""sexy"" image and jumped into an average, energetic young woman.<br /> <br /> This may not be a crown jewel.In his career, it was smarter than ""the devil wears Prada"" and more interesting than ""Superman,"" a great comedy to go out with friends."
"Basically, a young boy (Jake) thinks there are zombies in the closet, and his parents always have a family fighting. <br /> <br /> This movie is slower than the drama... And suddenly, he becomes Jake Rambo and decides to kill the zombies. <br /> <br /> Okay, when making a movie, you have to decide whether it's a thriller or a drama! You can watch movies by drama. Parents are divorcing and arguing as in real life. And we have his closet to ruin Jake all the movies! I expected to see a movie similar to BOOGEYMAN, but instead watched a drama with a meaningless thriller spot. Ignore Jake's photo.","Basically, there is a family where a little boy (Jake) thinks there are zombies in the closet, and his parents are always fighting.I became Rambo and decided to defeat the zombies.<br /> <br /> First, when making a movie, you have to decide whether it's a thriller or a drama.You can watch the movie as a drama. Parents are divorced and claim to be real life.And we used Jake and his closet to completely ruin every movie! I was hoping to see a movie similar to BOOGEYMAN, but instead watched a drama with some meaningless thriller spots.Ignore Jake's shots."
"Petter Mattei's “Love for Money” is a visually stunning film. Mattei gives a vivid portrait of human relationships. This is a movie that tells people what money, strength, and success are in the various situations we face. <br /> <br /> This is a variation on Arthur Schnitzler's play on the same subject, where the director transfers the action to New York where all these characters meet and connect. Each person is connected in one way or another, but no one knows the previous contact. Stylishly, the movie gives a luxurious and luxurious feel. We see how these people live and their world lives in their own habitat. <br /> <br /> The only thing you get from all these souls in the picture is the different stages of loneliness that each person lives in. Big cities are not the best place for human relationships to find true achievement. One discernment is the case for most people we meet. Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier and other competent performers brought these characters to life.","Petter Mattei's The Love of Money Time is a beautiful movie. Mattei provides a vivid portrait of relationships.This seems to tell people what money, power, and success are doing in the different situations we encounter.<br /> <br /> This is a variation of Arthur Schnitzler's drama on the same subject, where the director transfers the action to what is now New York, where all these different characters meet and connect.Each has somehow connected to the next person, but no one knows the previous contact .Stylish, sophisticated and luxurious finish.We are being taken to see how these people live and live in their own habitat.<br /> <br /> The only thing you can get from all these souls in the picture is the different stages. .Big cities are not the best places where people's relationships can be met in good faith.Because one insight is, as is most people we encounter.Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier, and other t alented casts bring these characte rs to life.work."
"Perhaps my favorite movie, selfless story, sacrifice and dedication to noble reasons, but I will not preach or get bored. I've seen it more than 15 times in the past 25 years, but I'm never getting older. Paul Lukas' performances shed tears, and Bette Davis is a delight, one of the almost sympathetic roles. As the grandmothers said, children are more like ""kids in clothes"" than children, but it's more fun just watching. And it's incredible and amazing for my mother to wake up slowly to the world and what's happening under her roof. If I had a dozen thumbs, it would all be ""up"" in this movie.","Probably my old favorite movie, selfless story, sacrifice, and dedication to noble purpose, but not preaching or boring.Despite having seen more than 15 times in the last 25 years, it never gets old. Paul Lucas's performance brought tears to my eyes and Bette Davis is one of her very few truly sympathetic roles and is a joy. As grandmas say, kids are more like ""dwarfs in dresses"" than kids, but that alone makes them fun to watch. And what's happening in the world, and her mother's slow awakening under her own roof is incredible and amazing.If I had a dozen thumbs, they would all be ""top"" for this movie."
"I want to see today's Seahunt series revived with today's technology. I grew up on a black and white TV and Seahunt with Gunsmoke was a hero every week. Vote for the return of a new sea hunt. We need to change the speed of the TV and this will work in a world of underwater adventures. Many movies. So ole way I think I believed what I wanted. It would be nice to read more points about sea hunting. If you have any doubts and need to quit, you should.","I would like to see the latest revival of the Seahunt series. The technology they have today brings children back to excitement. I grew up on black and white television and Seahunt with Gunsmoke was my hero every week. My vote for the new Sea Hunt comeback. This works well in the world of underwater adventures because you have to change the pace on your TV. By the way, on TV and in many movies, any way I believe I have something to say. I hope you've read some positive points about sea hunting. Doubtful and ask me to quit. If so, I'll have to go, so let's stop."
"This show was an amazing, fresh and innovative idea when it first aired in the 70s. The first 7 to 8 years was great, but after that the situation fell. By 1990, the show was no longer fun, and continues to decline due to today's complete waste of time. Writing is painful and performance is almost bad. The show will still not air unless you take a little pleasant break from the guest host. It is too hard to believe that the same creator who chose the original cast himself chose the following hack band. How can you perceive such brilliance and replace it with such mediocrity? I felt that this show should give me two stars for the original cast with such great success. As now, the show is terrible. I can't believe it's still on air.","The show was an astonishingly fresh and innovative idea when it first aired in the 70s.The first seven or eight years were great, but then things went down.By 1990, the show was no longer interesting, and its decline continued until it wasted all of today's time.<br /> <br /> It's a real shame how far this show has fallen.The writing is terrible, the performance is almost as bad-this show will probably not air yet, only due to the gentle and entertaining. rest of the guest host.It's hard to believe that the same creator who manually selected the original cast also chose the band for the hack that follows.How can we recognize such a glow and see it as suitable for replacing it with such a mediocre one ? In honor of the original cast that made this show a huge success, I felt I had to give it a two star.As of today, the show is terrible.I don't think it's on air yet."
"Thanks to the positive comments about this film, I was looking forward to seeing it. Bad mistake. I watched over 950 movies, which is one of the worst. It's terrible in almost every way. Editing, pacing, story,'acting', soundtrack (the movie's only song-lame national song... less than four times) The movie looks cheap, unpleasant and extremely boring I was so happy to see the movie's last credit < br /> <br /> Harvey Keitel is the only thing that can't score this point. This is far from the best performance, but at least it seems to be working a little bit. One is only for Keitel compulsion.","Encouraged by the positive comments about this movie here, I enjoyed watching it. Bad mistake. I've seen over 950 movies and this is really one of the worst. Editing, pacing, storylines, ""acting"" and soundtracks (the movie's only song-an incomplete country tune) are rarely played. Less than 4 times). The film looks cheap, awkward, and extremely boring. It's rare to be happy to see the end credits of a movie. <br /> <br /> Only Harvey Keitel is preventing me from giving this a 1-score-which is far from his best performance, but at least he seems to be making a little effort. is. For those who are particular about Kaitel."
"If you like the original bowel laughter laugh you will love this movie. If you are young or old, you will like this movie. Even my mother liked it. <br /> <br /> Great Camp !!!","If you like the original jerk, you'll love this movie.I love this movie, young and old, my mother loved it too.<br /> <br /> Great camp!!!"
